Image Name,Image Path,Response1,Response2
Students' Union Building-2.jpg,jpg/Students' Union Building-2.jpg,"Story: The image depicts a modernist building under construction. The architectural design features clean lines, geometric shapes, and open spaces with multiple levels and large windows.

Objects:
- Building
- Staircases
- Large windows
- Open balconies
- Grilled wall/fence
- Construction debris/materials

Events:
- Building construction or near-completion
- Presence of construction activity (indicated by the materials and debris)

Time:
- Likely mid-20th century (1950s to 1960s), given the architectural style typical of that period.","
Objects:
- Building
- Staircases
- Large windows
- Open balconies
- Grilled wall/fence
- Construction debris/materials

Events:
- Building construction or near-completion
- Presence of construction activity (indicated by the materials and debris)

Time:
- Likely mid-20th century (1950s to 1960s), given the architectural style typical of that period."
Group photo during Dr Sun Yat Sen's visit to HKU.jpg,jpg/Group photo during Dr Sun Yat Sen's visit to HKU.jpg,"Story:
The image depicts a group picture taken during Dr. Sun Yat-sen's visit to a university on February 20th, 1923. The setting features a large assembly of people gathered in front of a grand building with arched doorways and palm trees, suggesting a formal event or gathering.

Objects:
- Suits and formal attire
- Hats
- Palm tree
- Arched doorways
- Large building with columns and windows

Events:
- Group photo
- University visit by Dr. Sun Yat-sen
- Speech by Dr. Sun Yat-sen emphasizing that Hong Kong and the University were his ""intellectual birth place.""

Time:
- February 20th, 1923","The image depicts a group picture taken during Dr. Sun Yat-sen's visit to a university on February 20th, 1923. The setting features a large assembly of people gathered in front of a grand building with arched doorways and palm trees, suggesting a formal event or gathering.

Objects:
- Suits and formal attire
- Hats
- Palm tree
- Arched doorways
- Large building with columns and windows

Events:
- Group photo
- University visit by Dr. Sun Yat-sen
- Speech by Dr. Sun Yat-sen emphasizing that Hong Kong and the University were his ""intellectual birth place.""

Time:
- February 20th, 1923"
許地山手稿_東歸閒話.jpg,jpg/許地山手稿_東歸閒話.jpg,"Story: The image depicts a piece of handwritten manuscript or document, annotated with text in vertical lines, suggesting it belongs to an East Asian script, likely Japanese or Chinese. The document has multiple lines of text and some handwritten numerals and characters.

Objects:
- Handwritten manuscript/document
- Handwritten text in vertical lines
- Annotations/handwritten numerals or characters

Events:
- Handwriting/annotation of traditional East Asian text
- Possible creation of a written document or literature piece

Time:
- Specific era not directly identifiable from the image, but it could be early to mid-20th century based on the appearance of the manuscript.","
Objects:
- Handwritten manuscript/document
- Handwritten text in vertical lines
- Annotations/handwritten numerals or characters

Events:
- Handwriting/annotation of traditional East Asian text
- Possible creation of a written document or literature piece

Time:
- Specific era not directly identifiable from the image, but it could be early to mid-20th century based on the appearance of the manuscript."
Students' Union Building-1.jpg,jpg/Students' Union Building-1.jpg,"Story: The image shows a newly completed building, referred to as the Students' Union Building. The photo is dated 1961, and it is mentioned that the building has since been demolished.

Objects:
- Students' Union Building
- Trees and vegetation surrounding the building
- Mountains in the background

Events:
- Completion of the Students' Union Building

Time:
- 1961","
Objects:
- Students' Union Building
- Trees and vegetation surrounding the building
- Mountains in the background

Events:
- Completion of the Students' Union Building

Time:
- 1961"
VC_House.jpg,jpg/VC_House.jpg,"0. Story: The image is a black and white photograph showcasing an elegant building with Art Deco architectural features. The building has round corners, sleek lines, and a flag flying from the roof which suggests it's of some importance, possibly a government building or a notable residence. Surrounding the building are well-maintained gardens and a driveway.

1. Objects: 
- Building with Art Deco architecture
- Flag flying on the roof
- Balconies with railings
- Rounded corners on building
- Trees and shrubs
- Pathway/driveway
- Garden with various plants and flowers

2. Events:
- Display of the building and its landscape
- Flag raised on the building

3. Time: The photograph appears to have been taken sometime in the mid-20th century, around the 1930s to 1950s, given the architectural style and the quality of the black and white photograph.","
1. Objects: 
- Building with Art Deco architecture
- Flag flying on the roof
- Balconies with railings
- Rounded corners on building
- Trees and shrubs
- Pathway/driveway
- Garden with various plants and flowers

2. Events:
- Display of the building and its landscape
- Flag raised on the building

3. Time: The photograph appears to have been taken sometime in the mid-20th century, around the 1930s to 1950s, given the architectural style and the quality of the black and white photograph."
Exaimnation results of Sun Yat Sen at the College.jpg,jpg/Exaimnation results of Sun Yat Sen at the College.jpg,"Story: The image shows a document displaying examination results from the ""College of Medicine for Chinese, Hongkong"" for the subject ""Public Health."" The document lists the names of the examinees, their written and oral scores, and their total marks. It also includes a special examination section.

Objects:
- Examination results document
- List of examinees' names
- Written scores
- Oral scores
- Total marks
- Notations for distinction and pass

Events:
- Results of a professional examination in Public Health at a college
- Documentation of scores and results for both regular and special examinations

Time:
The specific date is not provided on the document, but the style and content suggest it is from an older period, possibly early to mid-20th century.","
Objects:
- Examination results document
- List of examinees' names
- Written scores
- Oral scores
- Total marks
- Notations for distinction and pass

Events:
- Results of a professional examination in Public Health at a college
- Documentation of scores and results for both regular and special examinations

Time:
The specific date is not provided on the document, but the style and content suggest it is from an older period, possibly early to mid-20th century."
Mrs Alice Ho.jpg,jpg/Mrs Alice Ho.jpg,"0. Story: This is a portrait of Mrs. Alice Ho, accompanied by text indicating she was the wife of Dr. Ho Kai and that a hospital was built in her memory.

1. Objects:
- Portrait photograph
- Necklace with a floral pendant
- Text description in English and Chinese

2. Events:
- None depicted directly in the image, but referenced: the construction of a hospital in her memory

3. Time: Likely early 20th century based on the photograph style and attire.","
1. Objects:
- Portrait photograph
- Necklace with a floral pendant
- Text description in English and Chinese

2. Events:
- None depicted directly in the image, but referenced: the construction of a hospital in her memory

3. Time: Likely early 20th century based on the photograph style and attire."
Lai Tsi-his.jpg,jpg/Lai Tsi-his.jpg,"0. Story: This is a historical photograph of Lai Ts'i-thai, described as a Hanlin scholar who was among the first to lecture on Chinese classics and history at a university. 

1. Objects:
- Photograph
- Caption text

2. Events:
- First lecturer on Chinese classics and history at the university

3. Time:
- The time is not explicitly mentioned in the photo, but based on the description, it could be inferred to be from the early 20th century.","
1. Objects:
- Photograph
- Caption text

2. Events:
- First lecturer on Chinese classics and history at the university

3. Time:
- The time is not explicitly mentioned in the photo, but based on the description, it could be inferred to be from the early 20th century."
Main_Building-1.jpg,jpg/Main_Building-1.jpg,"0. Story: The image depicts a coastal cityscape featuring a blend of modern and older architecture, with the sea and several ships visible in the background. The setting appears to be in an urban area near a harbour.

1. Objects:
   - Modern buildings
   - Older historic buildings
   - Sea
   - Ships
   - Trees
   - Rooftops
   - Mountain/hills in the background

2. Events:
   - None (static cityscape image)

3. Time:
   - Possibly mid-20th century, considering the architectural style and the black-and-white photograph format.","
1. Objects:
   - Modern buildings
   - Older historic buildings
   - Sea
   - Ships
   - Trees
   - Rooftops
   - Mountain/hills in the background

2. Events:
   - None (static cityscape image)

3. Time:
   - Possibly mid-20th century, considering the architectural style and the black-and-white photograph format."
The Old Hallites-3.jpg,jpg/The Old Hallites-3.jpg,"0. Story: The image shows a large group of people, likely students and faculty, posing for a formal group photograph in what seems to be either a school auditorium or a similar indoor space. 

1. Objects: 
- Banners and flags on the wall
- School insignia or logo (centered on the wall)
- Formal attire (suits, ties, dresses)
- Framed photograph/matboard 
- Ceiling fans

2. Events:
- Group photograph session

3. Time: Estimating from the black-and-white quality and style of dress, this image was likely taken in the mid-20th century, around the 1950s or 1960s.","
1. Objects: 
- Banners and flags on the wall
- School insignia or logo (centered on the wall)
- Formal attire (suits, ties, dresses)
- Framed photograph/matboard 
- Ceiling fans

2. Events:
- Group photograph session

3. Time: Estimating from the black-and-white quality and style of dress, this image was likely taken in the mid-20th century, around the 1950s or 1960s."
